group,level_1,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,us
USA,4,309138711.0,37.2,35.8,38.5,229298906.0,38825848.0,2529100.0,14859795.0,50545275.0,53046.0,28051.0,44852527.0,157664311.0,156533205.0,141996548.0,14536657.0,181400.0,889.0,115226802.0,16415655.0,36529875.0,15189414.0,3999547.0,2486186.0,139893639.0,6967689.0,303984241.0,148303859.0,12368622.0,115226802.0,76595548.0,38631254.0,1.0
USA,5,310337652.5,37.25,35.9,38.55,229945742.5,38996429.0,2534704.5,15045878.5,51165933.0,53046.0,28103.0,45757980.0,157930944.0,156823545.5,141930622.5,14892923.0,179050.0,896.5,115418509.0,16431621.5,36908060.5,15437040.0,4016966.5,2532013.0,139840139.0,6984205.5,305216368.0,148939284.5,12356142.5,115418509.0,76669953.0,38748556.0,1.0
USA,2,311594129.6666667,37.300000000000004,35.96666666666667,38.63333333333333,230580399.33333334,39185881.0,2544976.3333333335,15267472.0,51800654.0,53191.333333333336,28253.666666666668,46423855.333333336,158275799.66666666,157195701.66666666,142432159.33333334,14763542.333333334,177933.33333333334,904.3333333333334,115682703.33333333,16464394.666666666,37333596.333333336,15707009.0,4040874.0,2583289.6666666665,140339142.0,7042027.333333333,306504998.0,149588885.66666666,12339547.333333334,115682703.33333333,76765990.0,38916713.333333336,1.0
USA,3,312824352.5,37.375,36.025,38.7,231171063.25,39366434.5,2551024.75,15509430.25,52408541.75,53365.75,28422.75,46755152.25,158685171.75,157621232.25,143261064.25,14360168.0,178100.0,910.25,115993603.75,16454679.75,37791709.0,15990484.0,4070925.5,2633526.25,141159649.25,7122030.0,307757831.5,150221623.0,12321331.5,115993603.75,76889629.0,39103974.75,1.0
USA,1,313971114.4,37.44,36.08,38.760000000000005,231668266.2,39541511.2,2560383.2,15730469.2,52966654.8,53757.0,28704.0,46790566.8,159111885.4,158058405.6,144209116.6,13849289.0,179420.0,918.0,116338130.4,16431476.2,38271351.2,16282426.0,4109733.6,2679362.4,142099963.6,7192886.4,308921492.6,150809886.4,12302553.4,116338130.4,77033469.0,39304661.4,1.0
USA,0,316344253.6,37.56,36.220000000000006,38.88,232682525.4,39898504.6,2580983.6,16195774.2,54159714.0,54678.2,29329.2,46950130.4,160015888.2,158983658.6,145929640.0,13054018.6,181840.0,936.6,117057954.2,16461873.8,39240789.8,16875504.8,4188489.8,2774605.0,143807644.2,7320930.0,311330172.6,152033050.6,12265991.2,117057954.2,77374100.0,39683854.2,1.0
USA,9,318617540.8,37.68,36.34,39.019999999999996,233544973.2,40248325.2,2612736.4,16664291.8,55305982.8,56127.6,30222.4,46469039.6,161031638.6,160010520.6,148104677.4,11905843.2,187480.0,960.4,117881936.6,16503189.0,40277726.0,17500673.8,4289293.0,2868479.2,145964525.2,7441214.6,313628799.8,153195179.2,12226284.4,117881936.6,77764649.0,40117287.6,1.0
USA,10,320735683.0,37.82,36.48,39.14,234250563.0,40582296.6,2649661.0,17107001.8,56387837.6,57999.8,31332.0,45420087.0,162164434.8,161133634.8,150386067.8,10747567.0,195840.0,988.8,118790927.8,16531788.4,41370013.2,18142119.2,4407770.2,2959072.4,148244251.8,7537912.4,315753722.6,154269407.2,12183368.6,118790927.8,78195842.4,40595085.4,1.0
USA,8,322746540.4,37.94,36.64,39.28,233654114.6,40846154.4,2673549.8,17544268.2,57413600.6,60220.8,32622.8,44052343.6,163362344.8,162305969.2,152414308.0,9891661.2,206080.0,1022.4,119876510.6,16462387.8,42543725.8,18815991.6,4548323.4,3051743.6,150253148.4,7474482.0,317755464.4,155273498.0,12134464.8,119876510.6,78713699.2,41162811.4,1.0
USA,7,324980004.2,38.08,36.839999999999996,39.379999999999995,231880520.8,41076393.2,2698518.6,17977928.0,58535173.0,62960.6,34184.6,42798225.8,164772422.0,163679068.8,154316239.2,9362829.6,218120.0,1065.2,121135461.6,16321861.0,43776608.0,19534340.6,4697903.8,3159141.4,152137895.2,7273694.2,320003950.0,156557697.8,12080296.4,121135461.6,79343085.2,41792376.4,1.0
USA,6,326998641.4,38.22,37.019999999999996,39.5,228631165.2,41211944.6,2729384.4,18363259.8,59584232.0,66460.0,36201.4,41772473.6,166154274.0,165018616.2,155979047.0,9039569.2,235800.0,1122.4,122517548.0,16049784.4,44979529.0,20241988.2,4843235.6,3275989.8,153792211.4,6941257.4,322027923.8,157806693.0,11986528.8,122517548.0,79969926.2,42547621.8,1.0
