group,year,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,us
USA,2012-12-31,309138711.0,37.2,35.8,38.5,229298906.0,38825848.0,2529100.0,14859795.0,50545275.0,53046.0,28051.0,44852527.0,157664311.0,156533205.0,141996548.0,14536657.0,181400.0,889.0,115226802.0,16415655.0,36529875.0,15189414.0,3999547.0,2486186.0,139893639.0,6967689.0,303984241.0,148303859.0,12368622.0,115226802.0,76595548.0,38631254.0,1.0
USA,2013-12-31,311536594.0,37.3,36.0,38.6,230592579.0,39167010.0,2540309.0,15231962.0,51786591.0,53046.0,28155.0,46663433.0,158197577.0,157113886.0,141864697.0,15249189.0,176700.0,904.0,115610216.0,16447588.0,37286246.0,15684666.0,4034386.0,2577840.0,139786639.0,7000722.0,306448495.0,149574710.0,12343663.0,115610216.0,76744358.0,38865858.0,1.0
USA,2014-12-31,314107084.0,37.4,36.1,38.8,231849713.0,39564785.0,2565520.0,15710659.0,53070096.0,53482.0,28555.0,47755606.0,158965511.0,157940014.0,143435233.0,14504781.0,175700.0,920.0,116211092.0,16529941.0,38184668.0,16246947.0,4088689.0,2685843.0,141337148.0,7157671.0,309082258.0,150888088.0,12306357.0,116211092.0,76958064.0,39253028.0,1.0
USA,2015-12-31,316515021.0,37.6,36.2,38.9,232943055.0,39908095.0,2569170.0,16235305.0,54232205.0,53889.0,28930.0,47749043.0,159913288.0,158897824.0,145747779.0,13150045.0,178600.0,928.0,116926305.0,16425535.0,39166047.0,16840909.0,4161080.0,2784236.0,143621171.0,7362038.0,311516332.0,152119835.0,12266684.0,116926305.0,77260546.0,39665759.0,1.0
USA,2016-12-31,318558162.0,37.7,36.3,39.0,233657078.0,40241818.0,2597817.0,16614625.0,55199107.0,55322.0,29829.0,46932225.0,160818740.0,159807099.0,148001326.0,11805773.0,184700.0,949.0,117716237.0,16338662.0,40189920.0,17450194.0,4264966.0,2862707.0,145861221.0,7476312.0,313576137.0,153162940.0,12227441.0,117716237.0,77608829.0,40107408.0,1.0
USA,2017-12-31,321004407.0,37.8,36.5,39.1,234370202.0,40610815.0,2632102.0,17186320.0,56510571.0,57652.0,31177.0,45650345.0,162184325.0,161159470.0,150599165.0,10560305.0,193500.0,982.0,118825921.0,16567643.0,41377068.0,18154808.0,4393328.0,2962399.0,148432042.0,7607907.0,316027641.0,154419680.0,12185811.0,118825921.0,78298703.0,40527218.0,1.0
USA,2018-12-31,322903030.0,37.9,36.6,39.3,234904818.0,40916113.0,2699073.0,17574550.0,57517935.0,60293.0,32621.0,44257979.0,163276329.0,162248196.0,152739884.0,9508312.0,204900.0,1023.0,119730128.0,16654164.0,42470927.0,18810511.0,4538402.0,3047211.0,150571044.0,7602145.0,317941631.0,155385353.0,12145129.0,119730128.0,78697103.0,41033025.0,1.0
USA,2019-12-31,324697795.0,38.1,36.8,39.4,235377662.0,41234642.0,2750143.0,17924209.0,58479370.0,62843.0,34103.0,42510843.0,164629492.0,163555585.0,154842185.0,8713400.0,217500.0,1062.0,120756048.0,16672938.0,43646104.0,19454174.0,4681075.0,3138809.0,152735781.0,7641160.0,319706872.0,156259228.0,12091778.0,120756048.0,79114031.0,41642017.0,1.0
USA,2020-12-31,326569308.0,38.2,37.0,39.6,229960813.0,41227384.0,2688614.0,18421637.0,59361020.0,64994.0,35384.0,40910326.0,165902838.0,164759496.0,155888980.0,8870516.0,229800.0,1096.0,122354219.0,16078532.0,45034610.0,20210271.0,4863846.0,3247592.0,153665654.0,7044886.0,321525041.0,157140289.0,12022165.0,122354219.0,79849830.0,42504389.0,1.0
USA,2021-12-31,329725481.0,38.4,37.3,39.5,224789109.0,41393012.0,2722661.0,18782924.0,60806969.0,69021.0,37638.0,40661636.0,167869126.0,166672597.0,157510982.0,9161615.0,244900.0,1163.0,124010992.0,15636028.0,46354331.0,21041939.0,5012868.0,3399696.0,155284955.0,6472373.0,324818565.0,159583939.0,11956599.0,124010992.0,80755759.0,43255233.0,1.0
USA,2022-12-31,331097593.0,38.5,37.4,39.7,218123424.0,41288572.0,2786431.0,19112979.0,61755866.0,75149.0,41261.0,40521584.0,169093585.0,167857207.0,158913204.0,8944003.0,281900.0,1268.0,125736353.0,15207260.0,47391673.0,21693046.0,5119987.0,3546641.0,156703623.0,5945723.0,326147510.0,160664656.0,11716973.0,125736353.0,81432908.0,44303445.0,1.0
