NAME_Geographic Area Name,P001001_Total Population,P003001_Total Race Population,P003002_White Alone,P003003_Black or African American Alone,P003004_American Indian and Alaska Native Alone,P003005_Asian Alone,P012001_Total Population by Sex by Age,H001001_Total Housing Units,H003001_Total Occupied Housing Units,H003002_Occupied Housing Units,H003003_Vacant Housing Units,state,year
Alabama,4779736,4779736.0,3275394.0,1251311.0,28218.0,53595.0,4779736.0,2171853.0,2171853.0,1883791.0,288062.0,01,2010-12-31
Alaska,710231,710231.0,473576.0,23263.0,104871.0,38135.0,710231.0,306967.0,306967.0,258058.0,48909.0,02,2010-12-31
Arizona,6392017,6392017.0,4667121.0,259008.0,296529.0,176695.0,6392017.0,2844526.0,2844526.0,2380990.0,463536.0,04,2010-12-31
Arkansas,2915918,2915918.0,2245229.0,449895.0,22248.0,36102.0,2915918.0,1316299.0,1316299.0,1147084.0,169215.0,05,2010-12-31
California,37253956,37253956.0,21453934.0,2299072.0,362801.0,4861007.0,37253956.0,13680081.0,13680081.0,12577498.0,1102583.0,06,2010-12-31
Louisiana,4533372,4533372.0,2836192.0,1452396.0,30579.0,70132.0,4533372.0,1964981.0,1964981.0,1728360.0,236621.0,22,2010-12-31
Kentucky,4339367,4339367.0,3809537.0,337520.0,10120.0,48930.0,4339367.0,1927164.0,1927164.0,1719965.0,207199.0,21,2010-12-31
Colorado,5029196,5029196.0,4089202.0,201737.0,56010.0,139028.0,5029196.0,2212898.0,2212898.0,1972868.0,240030.0,08,2010-12-31
Connecticut,3574097,3574097.0,2772410.0,362296.0,11256.0,135565.0,3574097.0,1487891.0,1487891.0,1371087.0,116804.0,09,2010-12-31
Delaware,897934,897934.0,618617.0,191814.0,4181.0,28549.0,897934.0,405885.0,405885.0,342297.0,63588.0,10,2010-12-31
District of Columbia,601723,601723.0,231471.0,305125.0,2079.0,21056.0,601723.0,296719.0,296719.0,266707.0,30012.0,11,2010-12-31
Florida,18801310,18801310.0,14109162.0,2999862.0,71458.0,454821.0,18801310.0,8989580.0,8989580.0,7420802.0,1568778.0,12,2010-12-31
Georgia,9687653,9687653.0,5787440.0,2950435.0,32151.0,314467.0,9687653.0,4088801.0,4088801.0,3585584.0,503217.0,13,2010-12-31
Hawaii,1360301,1360301.0,336599.0,21424.0,4164.0,525078.0,1360301.0,519508.0,519508.0,455338.0,64170.0,15,2010-12-31
Idaho,1567582,1567582.0,1396487.0,9810.0,21441.0,19069.0,1567582.0,667796.0,667796.0,579408.0,88388.0,16,2010-12-31
Illinois,12830632,12830632.0,9177877.0,1866414.0,43963.0,586934.0,12830632.0,5296715.0,5296715.0,4836972.0,459743.0,17,2010-12-31
Indiana,6483802,6483802.0,5467906.0,591397.0,18462.0,102474.0,6483802.0,2795541.0,2795541.0,2502154.0,293387.0,18,2010-12-31
Iowa,3046355,3046355.0,2781561.0,89148.0,11084.0,53094.0,3046355.0,1336417.0,1336417.0,1221576.0,114841.0,19,2010-12-31
Kansas,2853118,2853118.0,2391044.0,167864.0,28150.0,67762.0,2853118.0,1233215.0,1233215.0,1112096.0,121119.0,20,2010-12-31
Maine,1328361,1328361.0,1264971.0,15707.0,8568.0,13571.0,1328361.0,721830.0,721830.0,557219.0,164611.0,23,2010-12-31
Maryland,5773552,5773552.0,3359284.0,1700298.0,20420.0,318853.0,5773552.0,2378814.0,2378814.0,2156411.0,222403.0,24,2010-12-31
Massachusetts,6547629,6547629.0,5265236.0,434398.0,18850.0,349768.0,6547629.0,2808254.0,2808254.0,2547075.0,261179.0,25,2010-12-31
Michigan,9883640,9883640.0,7803120.0,1400362.0,62007.0,238199.0,9883640.0,4532233.0,4532233.0,3872508.0,659725.0,26,2010-12-31
Minnesota,5303925,5303925.0,4524062.0,274412.0,60916.0,214234.0,5303925.0,2347201.0,2347201.0,2087227.0,259974.0,27,2010-12-31
Mississippi,2967297,2967297.0,1754684.0,1098385.0,15030.0,25742.0,2967297.0,1274719.0,1274719.0,1115768.0,158951.0,28,2010-12-31
Missouri,5988927,5988927.0,4958770.0,693391.0,27376.0,98083.0,5988927.0,2712729.0,2712729.0,2375611.0,337118.0,29,2010-12-31
Montana,989415,989415.0,884961.0,4027.0,62555.0,6253.0,989415.0,482825.0,482825.0,409607.0,73218.0,30,2010-12-31
Nebraska,1826341,1826341.0,1572838.0,82885.0,18427.0,32293.0,1826341.0,796793.0,796793.0,721130.0,75663.0,31,2010-12-31
Nevada,2700551,2700551.0,1786688.0,218626.0,32062.0,195436.0,2700551.0,1173814.0,1173814.0,1006250.0,167564.0,32,2010-12-31
New Hampshire,1316470,1316470.0,1236050.0,15035.0,3150.0,28407.0,1316470.0,614754.0,614754.0,518973.0,95781.0,33,2010-12-31
New Jersey,8791894,8791894.0,6029248.0,1204826.0,29026.0,725726.0,8791894.0,3553562.0,3553562.0,3214360.0,339202.0,34,2010-12-31
New Mexico,2059179,2059179.0,1407876.0,42550.0,193222.0,28208.0,2059179.0,901388.0,901388.0,791395.0,109993.0,35,2010-12-31
New York,19378102,19378102.0,12740974.0,3073800.0,106906.0,1420244.0,19378102.0,8108103.0,8108103.0,7317755.0,790348.0,36,2010-12-31
North Carolina,9535483,9535483.0,6528950.0,2048628.0,122110.0,208962.0,9535483.0,4327528.0,4327528.0,3745155.0,582373.0,37,2010-12-31
North Dakota,672591,672591.0,605449.0,7960.0,36591.0,6909.0,672591.0,317498.0,317498.0,281192.0,36306.0,38,2010-12-31
Ohio,11536504,11536504.0,9539437.0,1407681.0,25292.0,192233.0,11536504.0,5127508.0,5127508.0,4603435.0,524073.0,39,2010-12-31
Oklahoma,3751351,3751351.0,2706845.0,277644.0,321687.0,65076.0,3751351.0,1664378.0,1664378.0,1460450.0,203928.0,40,2010-12-31
Oregon,3831074,3831074.0,3204614.0,69206.0,53203.0,141263.0,3831074.0,1675562.0,1675562.0,1518938.0,156624.0,41,2010-12-31
Pennsylvania,12702379,12702379.0,10406288.0,1377689.0,26843.0,349088.0,12702379.0,5567315.0,5567315.0,5018904.0,548411.0,42,2010-12-31
Rhode Island,1052567,1052567.0,856869.0,60189.0,6058.0,30457.0,1052567.0,463388.0,463388.0,413600.0,49788.0,44,2010-12-31
South Carolina,4625364,4625364.0,3060000.0,1290684.0,19524.0,59051.0,4625364.0,2137683.0,2137683.0,1801181.0,336502.0,45,2010-12-31
South Dakota,814180,814180.0,699392.0,10207.0,71817.0,7610.0,814180.0,363438.0,363438.0,322282.0,41156.0,46,2010-12-31
Tennessee,6346105,6346105.0,4921948.0,1057315.0,19994.0,91242.0,6346105.0,2812133.0,2812133.0,2493552.0,318581.0,47,2010-12-31
Texas,25145561,25145561.0,17701552.0,2979598.0,170972.0,964596.0,25145561.0,9977436.0,9977436.0,8922933.0,1054503.0,48,2010-12-31
Utah,2763885,2763885.0,2379560.0,29287.0,32927.0,55285.0,2763885.0,979709.0,979709.0,877692.0,102017.0,49,2010-12-31
Vermont,625741,625741.0,596292.0,6277.0,2207.0,7947.0,625741.0,322539.0,322539.0,256442.0,66097.0,50,2010-12-31
Virginia,8001024,8001024.0,5486852.0,1551399.0,29225.0,439890.0,8001024.0,3364939.0,3364939.0,3056058.0,308881.0,51,2010-12-31
Washington,6724540,6724540.0,5196362.0,240042.0,103869.0,481067.0,6724540.0,2885677.0,2885677.0,2620076.0,265601.0,53,2010-12-31
West Virginia,1852994,1852994.0,1739988.0,63124.0,3787.0,12406.0,1852994.0,881917.0,881917.0,763831.0,118086.0,54,2010-12-31
Wisconsin,5686986,5686986.0,4902067.0,359148.0,54526.0,129234.0,5686986.0,2624358.0,2624358.0,2279768.0,344590.0,55,2010-12-31
Wyoming,563626,563626.0,511279.0,4748.0,13336.0,4426.0,563626.0,261868.0,261868.0,226879.0,34989.0,56,2010-12-31
Puerto Rico,3725789,3725789.0,2825100.0,461498.0,19839.0,6831.0,3725789.0,1636946.0,1636946.0,1376531.0,260415.0,72,2010-12-31
